Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2023-01-03 00:00:00-05:00,128.10576937065363,128.7154174535332,122.09773792777466,122.98271942138672,112117500,0.0,0.0,AAPL
2023-01-04 00:00:00-05:00,124.77233620258212,126.51280092971427,122.9925456360047,124.25118255615234,89113600,0.0,0.0,AAPL
2023-01-05 00:00:00-05:00,125.00834271164995,125.63766124201173,122.67790010774006,122.93355560302734,80962700,0.0,0.0,AAPL
2023-01-06 00:00:00-05:00,123.90699624027094,128.11555776974387,122.80568544146784,127.45674133300781,87754700,0.0,0.0,AAPL
2023-01-09 00:00:00-05:00,128.292610198386,131.18354745345354,127.72228791640812,127.97794342041016,70790800,0.0,0.0,AAPL
2023-01-10 00:00:00-05:00,128.08610610497774,129.06941726347972,125.98182082594903,128.5482635498047,63896200,0.0,0.0,AAPL
2023-01-11 00:00:00-05:00,129.0595847172529,131.28186245070447,128.28277553296553,131.26220703125,69458900,0.0,0.0,AAPL
2023-01-12 00:00:00-05:00,131.6457054280313,132.019353473187,129.2464237509339,131.1835479736328,71379600,0.0,0.0,AAPL
2023-01-13 00:00:00-05:00,129.82655147153693,132.6683196907436,129.46273119909978,132.510986328125,57809700,0.0,0.0,AAPL
2023-01-17 00:00:00-05:00,132.5798193932039,134.99875596810472,131.8915047175872,133.67129516601562,63646600,0.0,0.0,AAPL
2023-01-18 00:00:00-05:00,134.53663801277594,136.2967583598761,132.77650266153844,132.95350646972656,69672800,0.0,0.0,AAPL
2023-01-19 00:00:00-05:00,131.84235433638028,133.9761376268957,131.53753029546903,133.0124969482422,58280400,0.0,0.0,AAPL
2023-01-20 00:00:00-05:00,133.02233471040634,135.71661273457056,131.98002726434026,135.56910705566406,80223600,0.0,0.0,AAPL
2023-01-23 00:00:00-05:00,135.81492969380113,140.92815961902411,135.59860004292767,138.75503540039062,81760300,0.0,0.0,AAPL
2023-01-24 00:00:00-05:00,137.96838472187488,140.77082749424633,137.95855701188813,140.15133666992188,66435100,0.0,0.0,AAPL
2023-01-25 00:00:00-05:00,138.53869500355867,140.0529874380773,136.49340619294276,139.4925079345703,65799300,0.0,0.0,AAPL
2023-01-26 00:00:00-05:00,140.78065564701856,141.8426334902846,139.53184628445516,141.55747985839844,54105100,0.0,0.0,AAPL
2023-01-27 00:00:00-05:00,140.7708371263728,144.77290596887224,140.69217042868402,143.49459838867188,70555800,0.0,0.0,AAPL
2023-01-30 00:00:00-05:00,142.54077586673455,143.12092578303154,140.46598895897412,140.6134796142578,64015300,0.0,0.0,AAPL
2023-01-31 00:00:00-05:00,140.31845162185502,141.9310807734851,139.90546287615942,141.8819122314453,65874500,0.0,0.0,AAPL
2023-02-01 00:00:00-05:00,141.56730384751015,144.16324461699494,138.961535368266,143.0029296875,77663600,0.0,0.0,AAPL
2023-02-02 00:00:00-05:00,146.41500811186492,148.65695608667727,145.69719525256042,148.302978515625,118339000,0.0,0.0,AAPL
2023-02-03 00:00:00-05:00,145.5595309829737,154.75349514117664,145.36287177724367,151.9215545654297,154357300,0.0,0.0,AAPL
2023-02-06 00:00:00-05:00,150.0237617823619,150.54491539574025,148.26362674506663,149.19776916503906,69858300,0.0,0.0,AAPL
2023-02-07 00:00:00-05:00,148.12598902287087,152.63938353904294,148.12598902287087,152.06906127929688,83322600,0.0,0.0,AAPL
2023-02-08 00:00:00-05:00,151.31194020980092,152.00025508514892,148.6471601159277,149.3846435546875,64120100,0.0,0.0,AAPL
2023-02-09 00:00:00-05:00,151.21359681759392,151.75442098443708,147.90967054867934,148.35215759277344,56007100,0.0,0.0,AAPL
2023-02-10 00:00:00-05:00,147.19007494553122,149.04151212756338,146.95371454850684,148.71652221679688,57450700,0.23,0.0,AAPL
2023-02-13 00:00:00-05:00,148.6574172040706,151.9171435900277,148.62787403653363,151.5133819580078,62199000,0.0,0.0,AAPL
2023-02-14 00:00:00-05:00,149.8096612758476,151.43461079325414,148.56880303013764,150.87326049804688,61707600,0.0,0.0,AAPL
2023-02-15 00:00:00-05:00,150.7846469892343,153.13834833360136,150.55814431502776,152.97093200683594,65573800,0.0,0.0,AAPL
2023-02-16 00:00:00-05:00,151.17854429955682,153.95572244720177,151.02098573800205,151.37551879882812,68167900,0.0,0.0,AAPL
2023-02-17 00:00:00-05:00,150.03616431892533,150.6762863218937,148.55894582557343,150.23312377929688,59144100,0.0,0.0,AAPL
2023-02-21 00:00:00-05:00,147.9188390818426,149.00213887625634,146.15603126407484,146.22496032714844,58867200,0.0,0.0,AAPL
2023-02-22 00:00:00-05:00,146.60902132895072,147.67262055430007,144.9250004924314,146.64842224121094,51011300,0.0,0.0,AAPL
2023-02-23 00:00:00-05:00,147.81048914517564,148.05669224456878,145.00378282832062,147.13096618652344,48394200,0.0,0.0,AAPL
2023-02-24 00:00:00-05:00,144.87576101262292,144.9545478123535,143.50687229977612,144.48184204101562,55469600,0.0,0.0,AAPL
2023-02-27 00:00:00-05:00,145.46664446890208,146.90446214048941,145.21058363066865,145.67344665527344,44998500,0.0,0.0,AAPL
2023-02-28 00:00:00-05:00,144.8166705381309,146.8158385647427,144.6000106018143,145.17120361328125,50547000,0.0,0.0,AAPL
2023-03-01 00:00:00-05:00,144.60000744430354,144.9939263960711,142.80764165155819,143.10308837890625,55479000,0.0,0.0,AAPL
2023-03-02 00:00:00-05:00,142.1872231725768,144.481837933212,141.71450238763347,143.69398498535156,52238100,0.0,0.0,AAPL
2023-03-03 00:00:00-05:00,145.79162671403117,148.81500811176437,145.09241829817535,148.73622131347656,70732300,0.0,0.0,AAPL
2023-03-06 00:00:00-05:00,151.45432771735832,153.92621703534178,151.12935277334321,151.4937286376953,87558000,0.0,0.0,AAPL
2023-03-07 00:00:00-05:00,151.36568955134143,151.69067950386318,148.83472905134718,149.29759216308594,56182000,0.0,0.0,AAPL
2023-03-08 00:00:00-05:00,150.48919246419973,151.13917230662574,149.52408044265695,150.54827880859375,47204800,0.0,0.0,AAPL
2023-03-09 00:00:00-05:00,151.2277963802791,152.1929083670859,147.9483691410299,148.3029022216797,53833600,0.0,0.0,AAPL
2023-03-10 00:00:00-05:00,147.92871088177273,148.64761988981078,145.36819204822754,146.2446746826172,68572400,0.0,0.0,AAPL
2023-03-13 00:00:00-04:00,145.56511831219402,150.81417020284252,145.4567883472071,148.18472290039062,84457100,0.0,0.0,AAPL
2023-03-14 00:00:00-04:00,148.98243524821328,151.07023295988367,147.82036369988242,150.2725372314453,73695900,0.0,0.0,AAPL
2023-03-15 00:00:00-04:00,148.8937927615987,150.92250395033966,147.64307677577528,150.6664581298828,77167900,0.0,0.0,AAPL
2023-03-16 00:00:00-04:00,149.84905684492745,154.08375312665916,149.33695019463687,153.48301696777344,76161100,0.0,0.0,AAPL
