ticker,date,open,high,low,close,volume,daily_return
GOOGL,2023-01-03 05:00:00,88.80256311679109,90.24973739582715,87.74196796868762,88.33670043945312,28131200.0,0.0
GOOGL,2023-01-04 05:00:00,89.55587665525148,89.85324286170601,86.50294617668717,87.30583190917969,34854800.0,-1.17
GOOGL,2023-01-05 05:00:00,86.70120175720164,86.80032131544093,85.14500124959856,85.4423599243164,27194400.0,-2.13
GOOGL,2023-01-06 05:00:00,86.02717297103696,86.9192640659125,84.11413611960162,86.57233428955078,41381500.0,1.32
GOOGL,2023-01-09 05:00:00,87.58337634262733,89.25852481278592,87.08777100232832,87.2463607788086,29003900.0,0.78
GOOGL,2023-01-10 05:00:00,85.2242962744404,87.89064781997227,85.07561316227476,87.6428451538086,30467800.0,0.45
GOOGL,2023-01-11 05:00:00,88.39616224006632,90.79489009418964,88.22765825182702,90.71559143066406,26862000.0,3.51
GOOGL,2023-01-12 05:00:00,90.6759627102154,91.06253429761234,88.96116478580137,90.32903289794922,30258100.0,-0.43
GOOGL,2023-01-13 05:00:00,90.051483892175,91.3797100639102,89.3378110312232,91.3103256225586,26329200.0,1.09
GOOGL,2023-01-17 05:00:00,91.2508540286788,91.43918648040211,89.25852597951722,90.48762512207033,32602400.0,-0.9
GOOGL,2023-01-18 05:00:00,91.3301539078307,91.98435660415667,89.84333784782173,90.31912231445312,29116700.0,-0.19
GOOGL,2023-01-19 05:00:00,89.92264707243187,92.78724574591156,89.83343416594599,92.23217010498048,37000400.0,2.12
GOOGL,2023-01-20 05:00:00,94.26414410700896,97.436023155267,94.18484542927642,97.15847778320312,63191100.0,5.34
GOOGL,2023-01-23 05:00:00,97.08909393274908,99.16072841791184,96.64305210182977,98.91292572021484,40005100.0,1.81
GOOGL,2023-01-24 05:00:00,97.23776385107986,98.73449405924738,96.34567274812116,96.84127807617188,33078500.0,-2.09
GOOGL,2023-01-25 05:00:00,94.73000174467128,95.31481996198588,92.93591288382636,94.3830795288086,42330000.0,-2.54
GOOGL,2023-01-26 05:00:00,95.65183309275028,96.71242824527482,94.54167438000948,96.6628646850586,30114000.0,2.42
GOOGL,2023-01-27 05:00:00,96.45471331121504,99.43825971343786,96.45471331121504,98.49661254882812,33879800.0,1.9
GOOGL,2023-01-30 05:00:00,96.62322927209162,97.42610757655028,95.55271982458808,96.08797454833984,27226200.0,-2.45
GOOGL,2023-01-31 05:00:00,96.01858138177984,98.0109094055175,95.96901782279964,97.97126007080078,29870700.0,1.96
GOOGL,2023-02-01 05:00:00,97.84239594167008,100.30060151999366,96.72233070301776,99.54727935791016,35531100.0,1.61
GOOGL,2023-02-02 05:00:00,104.87009382209624,106.9020711952248,104.68176137141612,106.79303741455078,69883800.0,7.28
GOOGL,2023-02-03 05:00:00,102.0253238017862,106.8624295868404,101.67840154834732,103.85906219482422,65309300.0,-2.75
GOOGL,2023-02-06 05:00:00,101.49996963805864,103.4427415579821,100.9845358775122,101.99557495117188,31999600.0,-1.79
GOOGL,2023-02-07 05:00:00,102.31278158987035,107.2291863274613,102.21366202078416,106.69393157958984,49010200.0,4.61
GOOGL,2023-02-08 05:00:00,101.15305759656384,102.23347365780366,97.17830046850436,98.49661254882812,94743500.0,-7.68
GOOGL,2023-02-09 05:00:00,99.12107385512309,99.15080896730558,92.80705872811016,94.17493438720705,119455000.0,-4.39
GOOGL,2023-02-10 05:00:00,94.61105508342864,95.89963197469012,93.42160530867748,93.7387924194336,54980700.0,-0.46
GOOGL,2023-02-13 05:00:00,93.90729704786835,94.36325304999365,93.01520592965052,93.7784423828125,50076100.0,0.04
GOOGL,2023-02-14 05:00:00,93.6000290448755,94.01633573432832,91.44910358703162,93.84783172607422,54726100.0,0.07
GOOGL,2023-02-15 05:00:00,93.65950362229913,96.26639278959044,93.32249559012467,96.08797454833984,50169000.0,2.39
GOOGL,2023-02-16 05:00:00,94.53176333918978,96.82145754317696,93.90729578367532,94.6705322265625,42462600.0,-1.48
GOOGL,2023-02-17 05:00:00,94.01633442041258,94.72009311770113,92.39074945945416,93.5207290649414,34284100.0,-1.21
GOOGL,2023-02-21 05:00:00,92.18259462414863,92.28171418116946,90.91384614467198,90.98323059082033,33629300.0,-2.71
GOOGL,2023-02-22 05:00:00,90.89401552985218,91.30041553499176,89.81359952809775,90.8444595336914,30884000.0,-0.15
GOOGL,2023-02-23 05:00:00,91.11207885163788,91.13190729905016,88.97106783366301,90.09113311767578,41206400.0,-0.83
GOOGL,2023-02-24 05:00:00,88.6538991523709,89.09994100142467,87.80145723264899,88.34661865234375,36585100.0,-1.94
GOOGL,2023-02-27 05:00:00,89.08011627197266,89.3675683080764,88.55476820178005,89.08011627197266,27502300.0,0.83
GOOGL,2023-02-28 05:00:00,88.54486061355257,90.42816260421704,88.53494638831793,89.26844024658203,30142000.0,0.21
GOOGL,2023-03-01 05:00:00,89.18914616715412,90.22991291205538,88.88186569379845,89.56580352783203,31111200.0,0.33
GOOGL,2023-03-02 05:00:00,88.87195398014434,91.46892114468274,88.80256197209034,91.1913833618164,32204400.0,1.81
GOOGL,2023-03-03 05:00:00,91.66716673162266,92.90618007780824,91.63742405895086,92.8268814086914,35160100.0,1.79
GOOGL,2023-03-06 05:00:00,93.19363210202732,95.12649761674808,93.17381121430402,94.29387664794922,32639300.0,1.58
GOOGL,2023-03-07 05:00:00,94.14520057401872,94.8291308506661,92.70794044588578,93.03504180908205,27835500.0,-1.34
GOOGL,2023-03-08 05:00:00,93.2927380655849,95.11656181593746,93.17379007921296,93.42159271240234,34103300.0,0.42
GOOGL,2023-03-09 05:00:00,93.2233655789375,94.69035312052974,91.09226114790437,91.5085678100586,28813500.0,-2.05
GOOGL,2023-03-10 05:00:00,91.35988513059156,91.97443846501344,89.60544558188205,89.83341979980469,35941000.0,-1.83
GOOGL,2023-03-13 04:00:00,89.29817253447952,91.75637851356448,88.63406314919474,90.30921173095705,37335600.0,0.53
